model,cv_roc_auc_mean,cv_roc_auc_std,train_seconds,accuracy,precision,recall,f1,roc_auc
gradient_boosting,0.848456922591042,0.0034302675978825792,3.88,0.7931769722814499,0.6351791530944625,0.5213903743315508,0.5726872246696035,0.8388202680526581
logistic_regression,0.8459222428271802,0.00542939563523725,2.68,0.7256574271499645,0.4901315789473684,0.7967914438502673,0.6069246435845214,0.8353000709216186
random_forest,0.8483451699369166,0.0053941949527764,2.45,0.7476901208244492,0.5168141592920354,0.7807486631016043,0.6219382321618744,0.8341560068540307
xgboost,0.8425275535076567,0.005189458486797296,0.66,0.7398720682302772,0.507168458781362,0.7566844919786097,0.6072961373390557,0.8290491326337804
